Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
40 Treasures Slot;Casiнет Techнетlogy;Видео-слоты;40;5;1;1;10;Неизвестно;no;no;yes;yes;yes;yes;yes
Watch the Birdie Slot;Rival;Видео-слоты;15;5;1;5;1500;95%;yes;no;yes;yes;yes;no;no
Operation MYOW;Real Time Gaming;Классические слоты;1;3;1;3;50;95%;no;no;no;no;no;no;no
Haunting Harry;NextGen Gaming;Видео-слоты;20;5;1;5;3000;Неизвестно;yes;no;yes;yes;yes;yes;yes
нетthin' But Net;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;6000;95%;no;no;yes;yes;yes;yes;yes
Extra 10 Liner;Edict (Merkur Gaming);Видео-слоты;10;5;1;1;10000;96.12%;no;no;no;yes;yes;no;no
Dirty Jack;PariPlay;Видео-слоты;1;3;1;3;1000;Неизвестно;no;no;no;no;yes;no;no
Cap'n Coins;PariPlay;Видео-слоты;9;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;no
Candyland;PariPlay;Видео-слоты;1;3;1;3;1000;Неизвестно;no;no;no;no;yes;no;no
The Great Atlantic Quest;NextGen Gaming;Видео-слоты;20;5;1;10;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Heroic;Nektan;Видео-слоты;20;5;1;1;1000;95.46%;no;no;yes;yes;yes;no;yes
Millionaire's Lane Slot;Playtech;Видео-слоты;20;5;1;10;50000;96.5%;yes;no;yes;yes;yes;no;yes
Midsummer Nights Dream;GTS;Прогрессивные слоты;9;5;1;1;1500;Неизвестно;yes;yes;yes;yes;yes;no;no
Mid Life Crisis;Real Time Gaming;Прогрессивные слоты;9;5;1;5;Прогрессивный;95%;yes;yes;no;yes;no;no;no
Fortune 8 Cat;Lightning Box;Видео-слоты;1024;5;1;5;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Maya;GTS;Прогрессивные слоты;5;3;1;5;Прогрессивный;Неизвестно;no;yes;no;no;yes;no;no
Goal!!!;Booming Games;Видео-слоты;16;4;1;1;30;Неизвестно;no;no;yes;yes;yes;no;yes
Game Of Luck;EGT Interactive;Видео-слоты;20;5;1;20;1000;95.76%;no;no;yes;yes;yes;yes;no
Cosmic Fruit;Booming Games;Видео-слоты;20;5;1;1;150;Неизвестно;no;no;yes;yes;yes;no;yes
Cinco de Mayo;Booming Games;Видео-слоты;9;3;1;1;Неизвестно;Неизвестно;no;no;yes;yes;yes;no;yes
Do нетt Disturb;Booming Games;Видео-слоты;9;3;1;1;Неизвестно;Неизвестно;no;no;yes;yes;yes;no;yes
Magic Slots;Playtech;Прогрессивные слоты;1;3;1;3;Прогрессивный;95%;yes;yes;no;yes;yes;no;no
Amazon Уайлд Slot;Ash Gaming;Классические слоты;100;5;1;1;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Chow's Chance Slot;Booming Games;Видео-слоты;50;5;1;1;450;Неизвестно;no;no;yes;yes;yes;no;yes
Lucky 7s;Parlay;Классические слоты;5;3;1;1;1000;93%;no;no;no;no;no;no;no
Casiнет Mania;EGT Interactive;Видео-слоты;20;5;1;20;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Captain's Treasure Pro;Playtech;Видео-слоты;20;5;0;0;5000;96.08%;no;no;no;yes;yes;no;yes
Aftershock Frenzy;WMS (Williams Interactive);Видео-слоты;5;3;1;1;10000;96.10%;no;no;yes;yes;yes;yes;yes
Forest Treasure;Pragmatic Play;Видео-слоты;25;5;1;1;2500;Неизвестно;yes;no;yes;yes;yes;no;yes
Light Speed;Real Time Gaming;Прогрессивные слоты;1;3;1;3;Прогрессивный;95%;no;yes;no;no;yes;no;no
Bacchus;Booming Games;Видео-слоты;20;5;1;1;300;Неизвестно;no;no;yes;yes;yes;no;yes
Ocean Fantasy;Pragmatic Play;Видео-слоты;25;5;1;1;3500;Неизвестно;yes;no;yes;yes;yes;no;yes
La Fiesta;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;10000;94.7%;yes;no;yes;yes;yes;yes;no
Five Times Pay;IGT (WagerWorks);Классические слоты;1;3;1;3;15000;95.95%;yes;no;yes;no;no;no;no
Toc Toc;iSoftBet;Видео-слоты;50;5;0;0;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
King Tut's Treasure;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Booming Glow;Booming Games;Видео-слоты;25;5;1;1;60000;Неизвестно;no;no;yes;yes;yes;no;yes
Booming Seven;Booming Games;Видео-слоты;9;3;1;1;Неизвестно;Неизвестно;no;no;yes;yes;yes;no;yes
Arabia;Booming Games;Видео-слоты;10;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;no;yes
40 Shining Jewels;Casiнет Techнетlogy;Видео-слоты;40;5;1;1;20;Неизвестно;no;no;yes;yes;yes;yes;no
Moнетpoly Multiplier;IGT (WagerWorks);Классические слоты;27;3;1;1;50;94.95%;yes;no;yes;no;yes;yes;no
Karat Crazy;Parlay;Классические слоты;5;3;1;1;1000;96%;no;no;no;no;no;no;no
Jurassic Fire;Digital Gaming Solutions;Классические слоты;1;3;1;2;2000;Неизвестно;no;no;no;no;no;no;no
Cherry Bomb;Booming Games;Видео-слоты;10;5;1;1;30;Неизвестно;no;no;yes;yes;yes;no;yes
Hero Glyphics;Booming Games;Видео-слоты;9;3;1;1;Неизвестно;Неизвестно;no;no;yes;yes;yes;no;yes
Dolphin's Luck;Booming Games;Видео-слоты;20;5;1;1;105;Неизвестно;no;no;yes;yes;yes;no;yes
Jungle Fever;GTS;Прогрессивные слоты;9;5;1;1;80000;Неизвестно;no;yes;yes;yes;yes;no;no
Mega Spin;Slotland Entertainment;Прогрессивные слоты;2;3;1;1;Прогрессивный;Неизвестно;no;yes;yes;no;yes;yes;yes
Joyreel;Playtech;Видео-слоты;5;5;1;4;2000;95%;no;no;no;no;yes;no;no
Galactic Speedway Slot;Booming Games;Видео-слоты;16;4;1;1;15;Неизвестно;no;no;yes;yes;yes;no;yes
Ocean Life Slot;Arrow\'s Edge;Видео-слоты;1;3;1;0;Прогрессивный;Неизвестно;yes;yes;yes;no;yes;yes;no
Jewel Quest;Cryptologic (WagerLogic);Видео-слоты;16;6;1;1;2000;93.1%;no;no;no;no;yes;no;no
Jazz Time;Real Time Gaming;Прогрессивные слоты;9;5;1;5;Прогрессивный;95%;no;yes;yes;yes;no;no;no
The Mighty Atlas Slot;High5Games;Видео-слоты;30;5;1;1;1000;94.9%;no;no;yes;yes;yes;no;yes
Уайлд Spider;Dragonfish (Random Logic);Классические слоты;5;3;1;5;9000;96%;no;no;yes;no;yes;yes;no
Lucky Bells;Amatic Industries;Классические слоты;20;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;no;no
Hot Star;Amatic Industries;Классические слоты;10;5;1;1;250;Неизвестно;no;no;yes;yes;yes;no;no
Go Уайлд On Safari;Realistic Games;Классические слоты;20;5;1;1;40000;95.30%;no;no;yes;yes;yes;no;yes
Pharaohs Fortune Slot;IGT (WagerWorks);Видео-слоты;15;5;1;200;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
It's Good to be Bad;Real Time Gaming;Прогрессивные слоты;1;3;1;3;Прогрессивный;95%;yes;yes;yes;no;no;no;yes
Double Sixteen;Betsoft;Классические слоты;32;8;0;0;200;Неизвестно;no;no;no;no;yes;no;no
Hot Dog;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;8000;93%;yes;no;yes;yes;yes;yes;no
Stereo Miami Slot;Odobo;Видео-слоты;18;9;0;2;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Hollywood Reels;Parlay;Видео-слоты;9;5;1;1;25000;96%;yes;no;yes;yes;no;no;no
Mayan Marvels;Nektan;Видео-слоты;15;5;1;1;500;96.3%;no;no;yes;yes;yes;no;yes
Gunslingers Gold;Nektan;Видео-слоты;15;5;1;1;500;96.6%;no;no;yes;yes;yes;no;yes
Atlantis World Slot;GameArt;Видео-слоты;50;5;1;1;10;Неизвестно;no;no;no;yes;yes;yes;yes
High Rollers;Real Time Gaming;Классические слоты;5;3;1;5;100;95%;no;no;no;no;no;no;no
Wheelenium Superior Slot;Octavian Gaming;Видео-слоты;25;5;1;20;500;Неизвестно;yes;no;yes;yes;yes;no;no
Bier Fest Slot;Genesis Gaming;Видео-слоты;25;5;1;1;10;95.32%;no;no;yes;yes;yes;yes;yes
Gem Hunter;WMS (Williams Interactive);Видео-слоты;20;5;1;1;3000;93.18%;yes;no;yes;yes;yes;no;yes
Griffins Gate;WMS (Williams Interactive);Видео-слоты;50;5;1;1;200;93.08%;no;no;yes;yes;yes;no;yes
Haunted House;Cryptologic (WagerLogic);Видео-слоты;20;5;1;1;5000;94.5%;yes;no;yes;yes;yes;no;no
Haunted House;Playtech;Классические слоты;5;3;1;1;1800;97%;no;no;no;no;yes;no;no
Mega King;Betsoft;Классические слоты;5;3;1;2;2000;Неизвестно;no;no;no;no;no;no;no
Halloween;GTS;Прогрессивные слоты;9;5;1;1;5000;Неизвестно;no;yes;yes;yes;yes;no;no
Mad Pinatas;Leander Games;Видео-слоты;25;5;1;1;10000;95.26%;yes;no;yes;yes;yes;yes;yes
World Tour;iSoftBet;Видео-слоты;5;5;1;5;5000;Неизвестно;no;no;no;no;yes;no;no
The Sword of Alexander;iSoftBet;Видео-слоты;30;5;1;10;10;Неизвестно;no;no;yes;yes;yes;no;yes
Epic Moнетpoly II Slot;WMS (Williams Interactive);Видео-слоты;100;5;1;1;50;96.01%;yes;no;yes;yes;no;yes;yes
Golden 8;Slotland Entertainment;Прогрессивные слоты;8;9;1;1;Прогрессивный;Неизвестно;yes;yes;no;no;yes;no;yes
Eggstravaganza Slot;Rival;Классические слоты;1;3;1;3;2500;96%;no;no;no;no;yes;yes;yes
Gold Rush;Parlay;Классические слоты;1;3;1;1;Неизвестно;94.29%;no;no;no;no;no;no;no
Penguin Style;EGT Interactive;Видео-слоты;20;5;1;20;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Go for Gold;Ash Gaming;Прогрессивные слоты;9;5;1;1;400;94.49%;yes;yes;yes;yes;yes;no;no
Global Traveler;Playtech;Видео-слоты;20;5;1;10;30000;95.4%;yes;no;yes;yes;yes;yes;yes
Get Cracking;Parlay;Видео-слоты;9;5;1;1;2500;94%;yes;no;yes;yes;no;no;no
Valley of the Gods Slot;Yggdrasil Gaming;Видео-слоты;45;5;25;0;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Dream Wheel 15 Line Slot;Saucify (BetOnSoft);Прогрессивные слоты;15;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;no;no
Fruitorama;GTS;Прогрессивные слоты;5;3;1;5;Прогрессивный;Неизвестно;no;yes;no;no;yes;no;no
China Shores;Konami Gaming;Видео-слоты;30;5;1;1;0;Неизвестно;yes;no;no;yes;yes;no;yes
Lady of the Forest;ZEUS PLAY;Видео-слоты;10;5;1;1;9000;Неизвестно;no;no;yes;yes;yes;yes;yes
Fruity Fortune;Digital Gaming Solutions;Видео-слоты;9;5;1;1;25000;Неизвестно;no;no;yes;yes;no;no;yes
Heroes & Beasts;Booming Games;Видео-слоты;20;5;1;1;750;Неизвестно;no;no;yes;yes;yes;no;yes
Joker's Уайлд;Booming Games;Видео-слоты;25;5;1;1;150;Неизвестно;no;no;yes;yes;yes;no;yes
Kawaii Dragons;Booming Games;Видео-слоты;25;5;1;1;750;Неизвестно;no;no;yes;yes;yes;no;yes
Frozen Assets;Real Time Gaming;Прогрессивные слоты;1;3;1;3;Прогрессивный;95%;yes;yes;yes;no;no;no;no
Manga Punch;iSoftBet;Классические слоты;5;3;1;1;5000;Неизвестно;yes;no;yes;no;yes;yes;no
Hot Times;iSoftBet;Классические слоты;5;3;1;1;1600;Неизвестно;no;no;yes;no;yes;yes;no
Бесплатные Kick;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;5000;94.5%;yes;no;yes;yes;yes;yes;no
Monte Carlo;PariPlay;Классические слоты;1;3;1;3;10000;89%;no;no;no;no;yes;no;no
Showtime Reels;PariPlay;Классические слоты;1;3;1;3;100000;89%;no;no;no;no;yes;yes;no
Outta Space;PariPlay;Видео-слоты;9;5;1;1;10000;89.01%;no;no;yes;yes;yes;no;no
Treasures of Tombs Slot;Playson;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Dolphin Gold Slot;Lightning Box;Видео-слоты;40;5;1;1;1000;95.3%;no;no;yes;yes;yes;yes;yes
Forgotten City;Playtech;Видео-слоты;5;5;1;4;2000;96%;no;no;no;no;yes;no;no
The Olympic Slots;iSoftBet;Прогрессивные слоты;30;5;1;20;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;no;no
Quick Hit Cash Wheel;Bally;Видео-слоты;25;5;40;40;2500;Неизвестно;yes;no;yes;yes;yes;yes;yes
JetSet;iSoftBet;Видео-слоты;5;5;1;5;8000;Неизвестно;yes;no;yes;yes;yes;no;no
Flaming Dragon;Booming Games;Видео-слоты;25;5;1;1;45;Неизвестно;no;no;yes;yes;yes;no;yes
Family Powers;Booming Games;Видео-слоты;25;5;1;1;45;Неизвестно;no;no;yes;yes;yes;yes;yes
Fruity Lights;Booming Games;Видео-слоты;9;3;1;1;Неизвестно;Неизвестно;no;no;yes;yes;yes;no;yes
Kingdom of Wealth;Blueprint Gaming;Видео-слоты;30;5;1;1;1000;94.24%;yes;no;yes;yes;yes;yes;yes
The Magical Forest Slot;PariPlay;Видео-слоты;25;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Dazzling Gems Slot;PlayPearls;Видео-слоты;20;5;1;1;30;Неизвестно;no;no;yes;no;yes;no;yes
Flaming Fortune;Parlay;Видео-слоты;9;5;1;1;10000;96%;yes;no;yes;yes;no;no;no
Fire Ice;Parlay;Классические слоты;5;3;1;1;1000;93%;no;no;no;no;no;no;no
Farmer Joe;GTS;Прогрессивные слоты;9;5;1;1;80000;Неизвестно;no;yes;yes;yes;yes;no;no
Trick or Treat Slot;Saucify (BetOnSoft);Видео-слоты;30;5;1;5;6000;Неизвестно;no;no;yes;yes;yes;yes;yes
Fat Cat;WGS Techнетlogy (Vegas Techнетlogy);Классические слоты;20;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;no;no
Under the Sea Slot;1x2Gaming;Видео-слоты;25;5;1;5;400;Неизвестно;no;no;yes;yes;yes;yes;yes
Treasure of the Pyramids Slot;1x2Gaming;Видео-слоты;25;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Tokyo Hunter;Gameplay Interactive;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Mega Jackpot;Betsoft;Прогрессивные слоты;5;3;2;2;Прогрессивный;92.5%;no;yes;no;no;no;no;no
Slot Boss;Multislot;Видео-слоты;25;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;yes;yes
Santa 3x3;1x2Gaming;Видео-слоты;9;9;1;1;500;Неизвестно;no;no;no;no;no;yes;no
Dragons and Princesses;GTS;Прогрессивные слоты;9;5;1;1;5000;Неизвестно;no;yes;yes;yes;yes;no;no
Double Scoop;Parlay;Классические слоты;1;3;1;3;2400;96%;no;no;yes;no;no;no;no
Sumo Kitty!;Bally;Видео-слоты;1024;5;1;1;Неизвестно;96.97%;no;no;yes;yes;yes;yes;yes
Angel's Touch;Lightning Box;Видео-слоты;40;5;1;5;8000;Неизвестно;no;no;yes;yes;yes;yes;yes
Diamond Mine;iSoftBet;Классические слоты;5;3;1;1;5000;Неизвестно;no;no;yes;no;yes;yes;no
Bonus Lotto;iSoftBet;Классические слоты;5;3;1;1;5000;Неизвестно;yes;no;yes;yes;yes;no;no
Plucky Pirates;Nektan;Видео-слоты;9;5;1;1;2500;96.34%;no;no;yes;yes;yes;no;yes
Riches of India Slot;нетvomatic;Видео-слоты;9;5;1;200;2000;Неизвестно;no;no;yes;yes;yes;no;yes
Sparta Slot;нетvomatic;Видео-слоты;9;5;1;1;9000;Неизвестно;no;no;yes;yes;yes;yes;yes
Golden Treasure of Pharaoh Slot;нетvomatic;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Rock The Mouse;GamesOS/CTXM;Прогрессивные слоты;1;3;1;5;Прогрессивный;95.69%;no;yes;yes;yes;yes;yes;yes
Dick Danger;Cryptologic (WagerLogic);Видео-слоты;9;5;1;1;5000;94.5%;yes;no;yes;yes;yes;no;no
Diamond Surprise;Parlay;Классические слоты;1;3;1;3;15000;96%;no;no;yes;no;no;yes;no
Winter Wonderland;Gameplay Interactive;Видео-слоты;25;5;1;1;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Super Fruit 7 Slot;1x2Gaming;Классические слоты;9;5;1;5;477;Неизвестно;no;no;yes;yes;yes;yes;yes
Gypsy Slot;High5Games;Видео-слоты;243;5;1;1;1000;94.9%;no;no;yes;yes;yes;no;yes
Luxor Temple;Boss Media;Прогрессивные слоты;5;5;1;10;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Black Beauty;Gamomat;Видео-слоты;20;5;1;1;50;Неизвестно;no;no;yes;yes;yes;yes;yes
Bells on Fire;Amatic Industries;Классические слоты;40;5;1;1;250;Неизвестно;no;no;yes;yes;yes;no;no
Lady Joker;Amatic Industries;Классические слоты;50;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;no;no
Royal Unicorn;Amatic Industries;Видео-слоты;20;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;no;yes
Merry Fruits;Amatic Industries;Видео-слоты;20;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;no
Elvis Top 20 Slot;Barcrest Games;Видео-слоты;20;5;1;1;125000;95%;yes;no;yes;yes;yes;yes;no
Dice Express;Viaden Gaming;Видео-слоты;21;5;1;1;10000;90%;yes;no;yes;yes;yes;no;yes
Deep Ocean;888 Gaming;Прогрессивные слоты;1;3;1;1;Прогрессивный;96%;no;yes;no;no;yes;no;no
Daily Horoscope;Cryptologic (WagerLogic);Видео-слоты;20;5;1;1;25000;94%;yes;no;yes;yes;yes;no;no
Crazy Dragon;Real Time Gaming;Прогрессивные слоты;1;3;1;3;Прогрессивный;95%;no;yes;yes;no;yes;no;yes
Hot Diamonds Slot;Amatic Industries;Видео-слоты;10;5;1;1;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Super Money Wheel;Betsoft;Классические слоты;27;3;1;1;100;Неизвестно;no;no;no;no;yes;yes;no
Crayfish Frenzy;GTS;Прогрессивные слоты;9;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;no
Black Magic Fruits;Barcrest Games;Видео-слоты;5;3;1;1;1250;95.02%;no;no;yes;no;yes;no;no
The Amazing Circus;NextGen Gaming;Видео-слоты;20;5;1;5;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Emerald Eесть;WMS (Williams Interactive);Видео-слоты;20;5;1;1;3000;93.18%;yes;no;yes;yes;yes;no;yes
Citrus 7's;Parlay;Классические слоты;1;3;1;3;2500;94%;no;no;yes;no;no;yes;no
Mamma Mia Slot;1x2Gaming;Видео-слоты;25;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Sugar Rush Summer Time;Pragmatic Play;Видео-слоты;20;5;1;1;5000;93.97%;yes;no;yes;yes;yes;no;yes
Castaway;Leander Games;Видео-слоты;30;5;1;1;500;95%;yes;no;yes;yes;yes;yes;yes
Farm Fair Slot;iSoftBet;Видео-слоты;9;5;1;10;2500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Moнетpoly Plus Slot;IGT (WagerWorks);Видео-слоты;30;5;1;1;1500;96.7%;yes;no;yes;yes;yes;no;no
The Incredible Hulk - Ultimate Revenge;Cryptologic (WagerLogic);Прогрессивные слоты;25;5;1;1;Прогрессивный;94%;yes;yes;yes;yes;yes;yes;yes
Glorius Rome Slot;Pragmatic Play;Видео-слоты;20;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Cash Grab;WGS Techнетlogy (Vegas Techнетlogy);Классические слоты;10;3;1;3;800;Неизвестно;yes;no;yes;yes;yes;yes;no
Snake n Bake;Nyx Interactive;Классические слоты;10;3;1;5;100;Неизвестно;yes;no;no;yes;yes;no;yes
Shopping Spree;Nyx Interactive;Прогрессивные слоты;20;5;1;5;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
March of the Mehteran;Booming Games;Видео-слоты;15;5;1;1;225;Неизвестно;no;no;yes;yes;yes;no;yes
Thunderhorn;Bally;Видео-слоты;1024;5;1;1;3;94.03%;no;no;yes;yes;yes;yes;yes
Merry Spinning;Booming Games;Видео-слоты;25;5;1;1;75;Неизвестно;no;no;yes;yes;yes;no;yes
Wondrous Garden;Booming Games;Видео-слоты;15;5;1;1;90;Неизвестно;no;no;yes;yes;yes;no;yes
Black and White Gold;Parlay;Классические слоты;1;3;1;3;1000;93%;no;no;yes;no;no;no;no
Buccaneers Bounty;Cryptologic (WagerLogic);Видео-слоты;20;5;1;1;6000;94.5%;yes;no;yes;yes;yes;yes;yes
Treasure Twirl;Dragonfish (Random Logic);Прогрессивные слоты;1;3;1;3;Прогрессивный;96%;yes;yes;yes;no;yes;no;no
Bushido Code;GameArt;Видео-слоты;20;5;1;1;30;Неизвестно;no;no;yes;yes;yes;yes;yes
Cleopatra Treasure Slot;iSoftBet;Видео-слоты;5;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;no;no
Уайлд Diamonds;Amatic Industries;Видео-слоты;10;5;1;1;2000;Неизвестно;no;no;yes;no;yes;no;no
Top Gun;PartyGaming;Видео-слоты;20;5;1;1;10000;93.5%;yes;no;yes;yes;yes;no;yes
The Million Pound Goal;Realistic Games;Видео-слоты;10;5;1;1;250;95.15%;no;no;yes;no;yes;no;yes
Double Bubble;Realistic Games;Видео-слоты;20;5;1;1;10000;95%;no;no;yes;yes;yes;yes;yes
Randalls Riches;Realistic Games;Видео-слоты;10;5;1;1;1000;95.21%;yes;no;yes;yes;yes;yes;no
Riverboat Gambler;Realistic Games;Классические слоты;20;5;1;1;40000;95.39%;no;no;yes;yes;yes;yes;yes
Bank on It;Real Time Gaming;Классические слоты;1;3;1;3;1400;95%;no;no;no;no;no;no;no
Bank Heist;Rival;Видео-слоты;15;5;1;5;750;96%;yes;no;no;yes;yes;yes;no
Heavy Metal;Slotland Entertainment;Прогрессивные слоты;4;3;1;1;Прогрессивный;Неизвестно;no;yes;no;no;yes;no;no
Crazy Starter Slot;BGAMING;Видео-слоты;25;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;no;yes
Aztec Treasure Slot;Betsoft;Классические слоты;30;3;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Blue Dolphin;Amatic Industries;Видео-слоты;5;5;1;1;20000;Неизвестно;no;no;no;yes;yes;yes;no
Around the World;Cryptologic (WagerLogic);Видео-слоты;20;5;1;1;30000;94.5%;yes;no;yes;yes;yes;no;no
Cops 'n' Robbers Slot;нетvomatic;Видео-слоты;20;5;2;500;20000;95.02%;yes;no;yes;yes;yes;no;yes
Caesar's Treasure;NuWorks;Прогрессивные слоты;243;5;1;1;Прогрессивный;Неизвестно;Неизвестно;yes;yes;yes;yes;Неизвестно;yes
Hawaii Cocktails Slot;BGAMING;Видео-слоты;9;5;1;1;50000;Неизвестно;no;no;yes;yes;yes;no;no
Aladdin's Lamp;Cryptologic (WagerLogic);Видео-слоты;5;5;1;5;5000;97.7%;yes;no;no;yes;yes;no;no
Win Mill Slot;Rival;Классические слоты;5;3;1;3;1000;96%;yes;no;no;no;yes;no;no
Mafia Slot;Gameplay Interactive;Видео-слоты;30;5;1;1;400;Неизвестно;yes;no;yes;yes;yes;no;yes
Bar 7's;нетvomatic;Классические слоты;1;3;20;10000;800;95.02%;no;no;no;yes;yes;no;yes
Money Vault;Bally;Видео-слоты;243;5;40;40;2000;Неизвестно;yes;no;yes;yes;yes;no;yes
African Magic;Casiнет Techнетlogy;Видео-слоты;25;5;1;1;200;Неизвестно;no;no;yes;yes;yes;yes;yes
Dragon Kings;Nyx Interactive;Классические слоты;10;3;1;5;100;Неизвестно;yes;no;no;yes;yes;no;yes
777 Inferнет;Real Time Gaming;Классические слоты;1;3;1;3;1000;95%;no;no;no;no;no;no;no
7's Ablaze;Parlay;Классические слоты;5;3;1;1;1000;93%;no;no;no;no;yes;no;no
Retromania Slot;Endorphina;Видео-слоты;9;5;1;25;5000;96%;yes;no;yes;yes;yes;yes;no
24kt Gold;Playtech;Классические слоты;1;3;1;3;5000;94%;no;no;no;no;yes;no;no
Jumanji™ Slot;NetEnt;Видео-слоты;36;5;1;10;140;96.3%;yes;no;yes;yes;yes;yes;yes
Witchcraft Academy Slot;NetEnt;Видео-слоты;20;5;0;0;400;96.38%;yes;no;yes;yes;yes;yes;yes
Diamond Empire;Microgaming;Видео-слоты;15;3;1;10;100;Неизвестно;no;no;yes;yes;yes;yes;no
Coins Of Egypt;NetEnt;Видео-слоты;20;5;1;0;1500;96.97%;no;no;yes;yes;yes;no;yes
Dream Date Slot;Microgaming;Видео-слоты;243;5;0;0;15;Неизвестно;no;no;yes;yes;yes;yes;yes
Fruit Spins Slot;NetEnt;Видео-слоты;40;5;1;10;300;96.84%;yes;no;yes;yes;yes;no;yes
Lucky Little Gods Slot;Microgaming;Видео-слоты;243;5;1;10;15;Неизвестно;no;no;yes;yes;yes;yes;yes
Cosmic Eclipse;NetEnt;Видео-слоты;10;5;1;10;600;96.52%;no;no;yes;yes;yes;no;yes
Wacky Panda;Microgaming;Видео-слоты;1;3;1;3;1000;Неизвестно;no;no;no;no;yes;no;no
Moby Dick Slot;Microgaming;Видео-слоты;25;5;1;0;50;Неизвестно;no;no;yes;yes;yes;no;yes
Holly Jolly Penguins;Microgaming;Видео-слоты;45;5;1;10;10;Неизвестно;no;no;yes;yes;yes;yes;yes
Highlander Slot;Microgaming;Видео-слоты;243;5;1;15;10;Неизвестно;no;no;yes;yes;yes;no;yes
Halloween Slot;Microgaming;Видео-слоты;50;5;1;8;500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Tasty Street Slot;Microgaming;Видео-слоты;30;5;1;10;4000;Неизвестно;no;no;yes;yes;yes;yes;yes
108 Heroes Multiplier Fortunes Slot;Microgaming;Видео-слоты;9;5;1;10;1000;Неизвестно;no;no;yes;no;yes;yes;yes
Gнетme Wood Slot;Microgaming;Видео-слоты;25;5;1;0;10;Неизвестно;no;no;yes;yes;yes;yes;yes
Oink Country Love Slot;Microgaming;Видео-слоты;45;5;1;10;100;Неизвестно;no;no;yes;yes;yes;no;yes
Sugar Parade;Microgaming;Видео-слоты;15;5;1;5;60;Неизвестно;yes;no;yes;yes;yes;Неизвестно;yes
Playboy Gold Slot;Microgaming;Видео-слоты;100;6;1;10;5;Неизвестно;yes;no;yes;yes;yes;yes;yes
Oktoberfest Slot;нетlimit City;Видео-слоты;20;5;0;0;500;96.75%;no;no;yes;yes;yes;yes;yes
Jewels;Belatra;Видео-слоты;10;5;0;0;1000;Неизвестно;no;no;yes;yes;yes;no;yes
El Tesoro Pirata 5000;MGA;Прогрессивные слоты;0;3;0;0;Прогрессивный;Неизвестно;yes;yes;no;no;yes;no;no
Greedy Servants;Spiнетmenal;Видео-слоты;30;5;1;0;500;97.2%;yes;Неизвестно;yes;yes;yes;yes;yes
Casiнет Royale;Tom Horn Gaming;Видео-слоты;5;5;1;0;50;Неизвестно;no;no;yes;yes;yes;no;yes
